****************************************************************
Suite Created By = Protacon Technologies Ltd
TesterID = SWT-G3-42
SWT version = 1.4.0.6
TestPlaceIdentification = HST-6
ProductType = UHF
Chip Model = Monza5
Chip Manufacturer = Impinj
Product Specification = 3003122
Inlay Type = UHF
Product Readiness Level = 
Prodline Name = HST-6
Tester Name = SWT-G3_42
Product Name = Dose Wet
Product Spec = 3003122
Encoding Specification = 
Start of test = 2019-08-05 00:48:32
Main Roll ID = 0006262502
Sub Roll IDs = 
Roll Counter = 1
ReadersGAPs = 
Attenuation1.Value = 14.0
Attenuation2.Value = 0.0
Operator Name IC-Attachment =
Operator Name IC-Converting =
Operator Name Final Testing =
Chip Manufacturing Date =
SFG Roll ID = 0006262153
R1_CMD1 = FF0928000000020000000006 (CRC:CCITT:1:-1)|FF0D28000000E28011302000XXXXXXXXXXXXXXXX|45|0|1|0|Read Tag Tid Cmd(0:0)|1|TID(12:24)
Fields = Index, TID(12:24), ProductionMode, Status, Status_R1, Status_R2, Attenuation(0:), Attenuation_R1, Attenuation_R2, SpliceCount(0:), Time
38.1, FF0D28000000E280113020003484565409F6CDA6, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:51:50.103
39.1, FF0D28000000E280113020003034565109F6A90D, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:51:50.873
40.1, FF0D28000000E280113020003494565409F68EC5, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:51:51.611
41.1, FF0D28000000E280113020003024564409F6A8FA, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:51:52.340
42.1, FF0D28000000E280113020003484564709F6EFF4, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:51:57.475
43.1, FF0D28000000E280113020003034564409F6EB99, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:51:58.541
44.1, FF0D28000000E280113020003494564709F6AC97, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:51:59.275
45.1, FF0D28000000E280113020003014563909F6C265, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:00.054
46.1, FF0D28000000E280113020003474563B09F6B3BD, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:00.773
47.1, FF0D28000000E280113020003024563909F607C0, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:01.553
